date,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+,unassigned
2020-03-28,0,0,0,0,0,0,1,0,1,2,0,3,1,0,3,3,2,0,0,0
2020-03-29,0,0,0,0,0,1,0,1,3,1,0,1,4,1,2,1,0,1,0,0
2020-03-30,0,0,0,0,0,0,1,2,3,1,1,2,0,1,3,3,2,0,1,0
2020-03-31,0,0,0,0,0,0,1,2,0,0,1,3,2,3,2,0,3,2,0,0
2020-04-01,0,0,0,0,0,0,2,2,0,2,3,3,2,1,3,3,2,0,0,0
2020-04-02,0,0,0,0,0,1,3,2,2,0,6,5,1,0,2,1,1,1,3,0
2020-04-03,0,0,0,0,0,1,1,3,1,3,1,3,3,1,2,2,2,2,2,0
2020-04-04,0,0,0,1,0,1,0,1,1,3,2,1,1,1,0,0,0,3,2,0
2020-04-05,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,2,0,0,0,0
2020-04-06,0,0,0,1,1,1,0,0,1,1,2,0,0,0,0,1,4,0,2,0
2020-04-07,0,0,0,0,1,1,2,3,0,1,5,5,3,3,0,4,0,2,0,0
2020-04-08,0,0,0,0,0,1,3,1,2,1,0,0,1,2,1,0,1,2,1,0
2020-04-09,0,0,0,0,0,1,2,4,1,3,3,0,1,2,0,2,0,1,0,0
2020-04-10,0,0,0,0,0,0,3,0,1,1,2,0,0,2,1,0,0,1,0,0
2020-04-11,0,0,0,0,1,1,0,0,1,0,1,1,0,2,0,1,0,1,1,0
2020-04-12,0,0,0,0,2,3,0,1,0,1,1,0,2,0,1,0,0,1,0,0
2020-04-13,0,0,0,0,1,1,3,0,0,1,0,3,2,0,1,2,1,0,1,0
2020-04-14,0,0,0,1,0,1,1,0,0,3,0,0,1,2,0,0,0,0,0,0
2020-04-15,0,0,0,1,0,1,1,5,0,2,0,1,2,0,0,1,0,0,0,0
2020-04-16,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0
2020-04-17,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0
2020-04-18,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0,2,1,0,0,1,3,2,0,4,1,1,2,0
2020-04-20,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,1,0,3,0,2,0,0,2,1,2,0,0,0,0
2020-04-22,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0
2020-04-23,0,1,0,0,2,0,1,1,1,1,3,2,1,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,0,1,0,1,1,0,2,0,0,0,2,0,2,0,0,0
2020-04-25,0,0,0,0,1,1,0,2,1,0,0,1,0,0,1,1,0,1,0,0
2020-04-26,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
2020-04-27,0,0,0,0,0,0,1,2,1,3,0,0,0,1,0,0,0,0,1,0
2020-04-28,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2020-04-29,0,0,0,0,1,1,1,0,1,0,0,4,0,0,1,0,0,0,1,0
2020-04-30,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0
2020-05-01,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0
2020-05-02,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
2020-05-03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2020-05-06,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,1
2020-05-07,0,2,1,1,1,2,0,0,1,2,0,0,1,2,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
2020-05-11,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
2020-05-12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-15,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0
2020-05-16,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0
2020-05-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-06-17,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-06-22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-06-24,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2020-06-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-07-06,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-07,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2020-07-08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2020-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-07-13,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-07-18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-07-19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-07-21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-22,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
2020-07-23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-24,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-28,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-07-29,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2020-07-30,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-08-02,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-05,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-08-06,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-08-07,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
2020-08-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-11,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-08-12,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2020-08-13,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
2020-08-14,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-08-15,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-08-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-17,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-08-18,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-08-19,0,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-20,0,0,1,2,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-08-21,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-08-22,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-23,2,1,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0
2020-08-24,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-25,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2020-08-26,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0
2020-08-27,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-28,2,0,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2020-08-29,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-08-30,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2020-08-31,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,0,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-02,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2020-09-03,2,0,0,2,3,4,3,1,0,1,0,0,0,0,1,0,0,0,0,0
2020-09-04,0,0,0,0,2,2,5,1,1,1,0,0,2,1,0,0,0,0,0,0
2020-09-05,0,0,0,0,1,3,2,4,1,0,0,0,1,0,0,0,0,0,0,0
2020-09-06,0,0,1,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-07,1,2,2,0,1,3,1,1,2,3,0,0,1,0,0,0,0,0,0,0
2020-09-08,0,1,1,0,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0
2020-09-09,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-10,0,0,1,1,0,2,3,0,3,0,0,0,1,0,0,0,0,0,0,0
2020-09-11,0,2,2,1,4,2,4,4,0,1,1,2,0,0,0,0,0,0,0,0
2020-09-12,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020-09-13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2020-09-14,0,0,0,0,1,0,2,1,0,2,2,0,0,0,1,0,0,0,0,0
2020-09-15,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,1
2020-09-16,0,2,1,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0
2020-09-17,1,1,1,0,2,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0
2020-09-18,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
2020-09-19,0,0,1,0,2,0,2,0,1,1,1,1,0,0,1,0,0,0,0,0
2020-09-20,1,0,2,0,2,3,3,2,4,2,0,1,0,1,0,0,0,0,0,0
2020-09-21,1,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0
2020-09-22,1,0,0,2,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-09-23,0,0,0,0,2,3,0,2,1,3,1,0,1,0,0,0,0,0,0,0
2020-09-24,0,0,1,0,1,1,2,1,0,4,1,0,0,1,0,0,0,0,0,0
2020-09-25,0,2,3,0,2,2,1,3,3,1,0,0,1,0,0,0,0,0,0,0
2020-09-26,1,0,0,1,3,4,1,2,1,2,2,0,0,1,0,0,0,0,0,0
2020-09-27,0,0,1,4,1,2,3,2,3,2,1,1,4,0,0,1,0,0,0,0
2020-09-28,2,1,1,2,5,2,4,4,2,2,2,2,3,0,0,0,0,0,0,2
2020-09-29,0,0,1,0,9,0,10,1,1,2,2,2,0,0,0,1,0,0,0,0
2020-09-30,0,2,0,6,4,5,6,3,3,2,3,1,0,1,0,0,0,0,0,0
2020-10-01,1,2,1,3,4,3,9,4,2,0,2,1,0,1,0,0,0,0,0,0
2020-10-02,0,0,2,2,5,2,3,2,2,3,0,1,0,2,1,0,1,0,0,0
2020-10-03,1,1,0,1,5,2,3,2,1,1,2,3,0,0,0,0,0,0,0,0
2020-10-04,0,0,2,2,2,4,5,3,1,4,1,2,1,0,0,0,0,0,0,0
2020-10-05,1,0,2,1,6,3,6,3,7,3,1,2,0,0,1,0,1,0,0,0
2020-10-06,0,3,2,2,7,3,2,6,1,1,4,1,1,0,1,0,0,0,0,0
2020-10-07,1,5,5,6,2,5,12,3,4,2,1,2,3,1,1,0,1,2,0,0
2020-10-08,0,2,4,3,11,6,8,4,4,3,5,1,1,2,1,0,0,0,1,0
2020-10-09,1,1,4,8,12,3,3,2,3,6,0,1,0,0,0,0,0,0,0,0
2020-10-10,1,0,1,3,6,1,6,3,4,1,3,2,1,0,0,0,0,0,0,0
2020-10-11,0,2,0,4,4,2,2,2,2,2,2,1,0,0,0,1,0,0,0,0
2020-10-12,1,1,4,3,8,6,6,6,5,6,5,1,1,0,0,0,0,1,0,0
2020-10-13,0,2,2,2,2,9,5,5,8,1,4,2,2,4,1,1,1,1,0,0
2020-10-14,1,1,3,4,3,6,5,4,7,4,1,2,1,2,0,1,0,1,0,0
2020-10-15,1,3,3,4,5,9,9,4,1,4,1,2,1,0,1,0,0,0,0,0
2020-10-16,0,1,2,3,3,9,6,4,3,1,2,1,2,1,1,0,0,1,0,0
2020-10-17,0,0,7,3,4,1,2,5,2,2,3,0,0,1,0,1,0,0,0,0
2020-10-18,1,4,3,3,3,5,12,4,1,2,0,0,1,1,1,0,0,1,0,0
2020-10-19,0,0,7,4,7,12,15,9,11,6,5,1,3,0,0,0,0,1,0,0
2020-10-20,1,2,4,7,10,13,9,4,7,1,3,5,3,0,1,0,0,1,0,0
2020-10-21,1,1,2,4,7,10,7,10,11,10,4,2,3,1,2,0,0,1,0,1
2020-10-22,1,1,2,6,9,8,5,4,5,4,4,5,1,2,0,0,0,1,0,0
2020-10-23,3,1,4,9,8,12,5,4,2,4,3,2,3,4,0,1,1,0,1,0
2020-10-24,0,2,4,3,11,6,5,4,5,2,3,3,2,0,1,0,0,0,1,0
2020-10-25,0,2,0,2,5,8,8,3,4,3,2,0,0,0,1,0,0,0,0,0
2020-10-26,5,1,1,6,7,8,9,10,9,7,6,2,1,3,3,0,1,0,0,0
2020-10-27,0,1,2,3,9,13,6,12,3,1,3,2,1,2,0,0,0,0,0,0
2020-10-28,2,0,0,3,5,8,4,0,3,4,5,0,0,2,1,0,0,2,0,0
2020-10-29,1,0,3,6,8,6,9,3,5,7,4,2,2,0,1,0,1,0,0,0
2020-10-30,3,0,0,4,8,11,12,9,4,4,5,3,3,2,1,0,0,0,0,0
2020-10-31,1,1,0,2,6,6,11,2,3,5,2,3,1,1,0,0,0,0,0,0
2020-11-01,1,0,1,4,5,7,6,3,2,2,3,3,4,1,1,0,1,0,0,0
2020-11-02,2,0,4,4,5,16,17,13,5,3,2,3,2,1,0,0,0,0,0,0
2020-11-03,0,0,2,4,6,5,3,10,8,7,1,4,2,1,0,0,0,0,0,0
2020-11-04,3,0,1,5,4,11,5,5,5,2,2,4,2,1,0,0,0,0,0,0
2020-11-05,1,0,1,2,8,8,7,4,3,1,4,3,3,0,0,0,0,0,0,0
2020-11-06,0,0,0,2,6,9,6,5,7,5,4,3,3,0,0,0,0,0,0,0
2020-11-07,0,1,3,4,6,2,4,3,4,7,3,1,1,1,0,0,0,0,0,0
2020-11-08,1,2,2,8,6,6,8,2,0,8,0,4,1,0,1,0,2,0,0,0
2020-11-09,1,1,0,2,7,9,7,12,5,7,3,4,0,0,1,0,1,0,0,1
2020-11-10,2,0,1,0,8,10,11,3,6,7,4,4,1,1,0,0,0,0,1,0
2020-11-11,1,1,1,6,3,9,7,7,8,2,5,2,3,0,2,0,0,1,0,0
2020-11-12,1,3,2,5,15,7,11,7,4,6,7,2,2,1,1,2,1,0,1,0
2020-11-13,0,0,2,1,9,10,7,8,4,9,2,1,2,1,0,1,1,0,0,0
2020-11-14,2,3,2,2,5,12,4,6,1,4,2,2,1,1,1,0,1,0,0,0
2020-11-15,2,2,3,3,4,6,4,3,3,2,2,1,1,4,0,1,0,1,0,0
2020-11-16,3,1,5,4,2,9,8,9,8,1,6,5,1,1,0,2,1,0,0,1
2020-11-17,0,1,1,5,4,8,7,3,4,3,4,5,1,0,0,0,0,0,0,0
2020-11-18,1,2,7,4,3,5,6,6,5,7,5,4,3,7,2,1,0,0,0,0
2020-11-19,1,2,3,1,2,6,7,8,2,7,1,0,1,0,2,1,0,0,0,0
2020-11-20,1,5,2,2,4,4,8,5,8,4,3,3,2,1,1,0,0,0,0,0
2020-11-21,2,1,3,0,5,2,2,2,4,3,5,3,1,0,0,1,0,0,1,0
2020-11-22,2,2,1,3,5,0,5,4,3,2,2,2,3,0,0,0,1,0,0,0
2020-11-23,1,2,7,2,4,8,6,7,5,2,1,3,2,0,4,1,0,1,0,0
2020-11-24,2,3,2,5,7,1,4,3,5,3,5,1,1,0,0,1,0,0,0,0
2020-11-25,0,2,8,1,3,7,5,6,5,6,4,5,0,1,0,0,0,0,0,0
2020-11-26,0,2,3,2,1,7,4,8,6,5,8,0,2,3,0,0,0,0,0,0
2020-11-27,3,7,6,3,7,8,6,10,7,5,3,4,1,1,1,1,0,1,0,0
2020-11-28,2,1,4,1,2,2,7,5,3,11,7,1,1,1,1,1,0,1,0,0
2020-11-29,0,3,11,6,2,3,7,5,4,8,3,1,0,1,0,1,1,0,0,0
2020-11-30,0,3,9,11,5,8,7,8,6,8,3,6,4,0,2,0,0,0,0,1
2020-12-01,2,4,12,11,3,3,2,6,2,12,11,2,2,1,0,0,0,2,0,0
2020-12-02,0,4,4,12,6,6,9,6,11,12,3,4,2,1,1,0,0,0,0,0
2020-12-03,3,3,6,4,8,5,8,14,4,7,4,3,1,1,0,0,2,1,0,0
2020-12-04,4,5,11,9,8,9,6,14,7,9,10,8,5,1,3,0,1,0,0,0
2020-12-05,1,1,4,8,8,11,8,7,2,10,7,5,0,1,2,0,1,0,0,0
2020-12-06,4,2,7,7,2,6,4,6,9,7,6,1,4,1,0,1,0,0,2,0
2020-12-07,1,2,8,4,6,9,9,12,8,13,8,8,6,4,2,1,0,1,0,0
2020-12-08,3,1,6,12,8,12,12,8,7,8,8,5,5,2,1,2,0,0,0,0
2020-12-09,1,2,10,14,12,16,8,12,12,6,7,6,13,5,2,0,1,0,0,2
2020-12-10,2,1,11,14,10,11,16,12,19,10,7,4,4,9,2,1,1,0,0,0
2020-12-11,10,9,10,11,5,19,25,21,7,12,13,5,5,4,0,1,0,1,0,0
2020-12-12,6,8,13,11,2,20,16,6,10,12,6,10,6,4,2,1,0,0,0,0
2020-12-13,5,8,16,14,14,23,21,20,19,15,8,7,6,3,5,0,0,0,0,0
2020-12-14,6,15,20,21,20,26,23,31,18,23,14,11,10,3,6,1,1,2,1,1
2020-12-15,10,10,19,16,20,41,40,35,22,21,16,18,8,7,0,2,0,0,0,0
2020-12-16,10,9,30,21,17,52,43,26,19,24,26,14,16,3,0,1,4,1,0,0
2020-12-17,7,4,22,10,21,38,34,39,24,33,16,9,7,4,2,0,1,0,0,0
2020-12-18,11,9,13,18,27,48,41,32,36,25,32,19,11,8,4,2,3,1,2,0
2020-12-19,6,5,15,12,20,29,36,19,20,19,9,10,1,8,2,2,3,1,1,1
2020-12-20,6,10,17,14,19,45,32,26,30,21,24,15,10,6,5,3,1,2,0,1
2020-12-21,8,10,25,17,37,57,63,44,28,40,23,22,14,7,6,6,4,3,1,3
2020-12-22,18,7,17,19,27,45,52,50,35,39,32,22,21,12,10,5,1,1,1,1
2020-12-23,9,12,17,16,39,49,45,53,38,46,31,19,23,8,8,2,3,0,0,0
2020-12-24,9,6,15,10,21,31,34,26,25,19,29,13,10,6,6,4,4,4,1,1
2020-12-25,5,0,5,10,12,13,11,17,13,9,11,13,6,4,4,3,2,0,1,0
2020-12-26,4,10,17,19,43,46,35,34,30,48,22,31,17,10,8,5,3,1,0,0
