date,12-15,16-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
2021-01-06,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,262.0,228.0,106.0
2021-01-07,0.0,0.0,2.0,2.0,5.0,8.0,11.0,8.0,10.0,20.0,16.0,13.0,5.0,4.0,269.0,205.0,76.0
2021-01-08,0.0,0.0,2.0,3.0,3.0,7.0,4.0,7.0,10.0,13.0,7.0,7.0,2.0,0.0,132.0,71.0,52.0
2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,8.0,4.0,3.0,4.0,0.0,3.0,1.0,2.0
2021-01-12,0.0,0.0,3.0,2.0,4.0,8.0,2.0,5.0,9.0,7.0,9.0,5.0,2.0,2.0,4.0,3.0,0.0
2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-14,0.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,9.0,10.0,1.0,0.0,1.0,1.0,3.0,4.0,2.0
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-30,0.0,1.0,2.0,4.0,3.0,4.0,1.0,4.0,7.0,8.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0
2021-01-31,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-03,0.0,0.0,1.0,0.0,4.0,5.0,1.0,2.0,3.0,11.0,11.0,4.0,7.0,3.0,3.0,0.0,0.0
2021-02-04,0.0,0.0,0.0,2.0,5.0,5.0,6.0,8.0,11.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0
2021-02-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2021-02-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
2021-02-09,0.0,0.0,1.0,3.0,1.0,2.0,0.0,4.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-02-10,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0
2021-02-11,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
2021-02-12,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2021-02-13,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
2021-02-14,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-16,0.0,0.0,2.0,3.0,3.0,3.0,0.0,4.0,4.0,7.0,7.0,10.0,5.0,5.0,2.0,1.0,0.0
2021-02-17,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
2021-02-18,0.0,0.0,2.0,0.0,2.0,1.0,4.0,5.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0
2021-02-19,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-02-20,0.0,0.0,0.0,4.0,3.0,6.0,6.0,10.0,7.0,7.0,8.0,3.0,4.0,11.0,5.0,0.0,0.0
2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-02-22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-23,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,5.0,3.0,5.0,1.0,4.0,2.0,0.0,1.0
2021-02-24,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
2021-02-25,0.0,0.0,1.0,2.0,3.0,1.0,4.0,6.0,2.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
2021-02-27,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-02,0.0,0.0,0.0,4.0,3.0,1.0,3.0,5.0,6.0,3.0,3.0,8.0,5.0,8.0,13.0,12.0,9.0
2021-03-03,0.0,0.0,4.0,3.0,3.0,3.0,2.0,8.0,8.0,2.0,6.0,10.0,7.0,6.0,3.0,0.0,0.0
2021-03-04,0.0,0.0,0.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-03-05,0.0,0.0,0.0,2.0,1.0,1.0,4.0,7.0,1.0,0.0,2.0,0.0,2.0,8.0,4.0,1.0,1.0
2021-03-06,0.0,0.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,10.0,5.0,6.0
2021-03-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-03-08,0.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-09,0.0,0.0,0.0,3.0,3.0,0.0,6.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,9.0,7.0
2021-03-10,0.0,0.0,16.0,26.0,33.0,39.0,53.0,79.0,72.0,79.0,105.0,44.0,27.0,30.0,483.0,324.0,120.0
2021-03-11,0.0,0.0,0.0,2.0,6.0,2.0,6.0,5.0,7.0,9.0,7.0,5.0,3.0,4.0,131.0,51.0,18.0
2021-03-12,0.0,1.0,18.0,49.0,47.0,64.0,57.0,73.0,106.0,129.0,101.0,53.0,19.0,35.0,375.0,260.0,127.0
2021-03-13,0.0,0.0,2.0,2.0,1.0,8.0,11.0,4.0,11.0,11.0,8.0,2.0,8.0,35.0,207.0,175.0,54.0
2021-03-14,0.0,0.0,1.0,2.0,1.0,1.0,2.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,9.0,6.0,23.0
2021-03-15,0.0,0.0,0.0,4.0,9.0,0.0,4.0,2.0,5.0,4.0,3.0,1.0,7.0,4.0,9.0,14.0,8.0
2021-03-16,0.0,0.0,13.0,9.0,6.0,6.0,6.0,14.0,14.0,17.0,9.0,4.0,1.0,3.0,2.0,2.0,3.0
2021-03-17,0.0,0.0,1.0,6.0,2.0,6.0,6.0,7.0,6.0,7.0,3.0,5.0,3.0,2.0,6.0,4.0,4.0
2021-03-18,0.0,1.0,21.0,31.0,47.0,40.0,49.0,73.0,73.0,86.0,54.0,30.0,34.0,20.0,56.0,49.0,60.0
2021-03-19,0.0,2.0,45.0,66.0,82.0,106.0,99.0,91.0,119.0,126.0,104.0,60.0,25.0,298.0,91.0,37.0,20.0
2021-03-20,0.0,0.0,9.0,3.0,2.0,7.0,2.0,5.0,5.0,6.0,8.0,2.0,4.0,3.0,6.0,14.0,10.0
2021-03-21,0.0,0.0,1.0,3.0,2.0,5.0,1.0,2.0,4.0,3.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0
2021-03-22,0.0,0.0,5.0,7.0,8.0,9.0,6.0,9.0,21.0,7.0,8.0,5.0,2.0,13.0,8.0,5.0,3.0
2021-03-23,0.0,0.0,23.0,33.0,41.0,46.0,56.0,66.0,63.0,84.0,58.0,20.0,6.0,17.0,29.0,29.0,18.0
2021-03-24,0.0,0.0,32.0,39.0,57.0,69.0,72.0,56.0,66.0,97.0,68.0,23.0,14.0,26.0,157.0,89.0,37.0
2021-03-25,0.0,0.0,33.0,48.0,46.0,64.0,56.0,69.0,94.0,91.0,60.0,28.0,23.0,54.0,321.0,163.0,67.0
2021-03-26,0.0,1.0,15.0,16.0,30.0,38.0,30.0,30.0,40.0,64.0,40.0,44.0,44.0,202.0,266.0,173.0,72.0
2021-03-27,0.0,0.0,13.0,21.0,33.0,39.0,33.0,30.0,52.0,51.0,41.0,28.0,34.0,425.0,757.0,438.0,135.0
2021-03-28,0.0,0.0,14.0,14.0,15.0,11.0,19.0,13.0,30.0,25.0,32.0,14.0,19.0,286.0,354.0,187.0,111.0
2021-03-29,0.0,0.0,12.0,21.0,27.0,29.0,29.0,22.0,37.0,40.0,27.0,27.0,8.0,65.0,108.0,60.0,45.0
2021-03-30,0.0,2.0,44.0,43.0,67.0,88.0,74.0,120.0,147.0,196.0,138.0,94.0,386.0,458.0,84.0,37.0,48.0
2021-03-31,0.0,1.0,48.0,65.0,95.0,108.0,120.0,100.0,149.0,178.0,125.0,86.0,517.0,700.0,331.0,204.0,76.0
2021-04-01,0.0,0.0,29.0,31.0,31.0,49.0,48.0,44.0,81.0,70.0,53.0,34.0,314.0,610.0,351.0,179.0,79.0
2021-04-02,0.0,0.0,11.0,10.0,13.0,11.0,14.0,20.0,22.0,32.0,23.0,19.0,135.0,281.0,224.0,115.0,41.0
2021-04-03,0.0,0.0,6.0,6.0,12.0,5.0,13.0,10.0,14.0,20.0,9.0,18.0,36.0,74.0,77.0,59.0,25.0
2021-04-04,0.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-04-05,0.0,0.0,3.0,7.0,7.0,5.0,8.0,6.0,7.0,5.0,8.0,3.0,0.0,1.0,1.0,1.0,0.0
2021-04-06,0.0,0.0,18.0,42.0,36.0,48.0,55.0,60.0,94.0,88.0,75.0,57.0,296.0,164.0,73.0,43.0,19.0
2021-04-07,0.0,0.0,41.0,55.0,68.0,47.0,66.0,60.0,74.0,74.0,68.0,39.0,70.0,51.0,50.0,36.0,20.0
2021-04-08,0.0,1.0,37.0,49.0,72.0,66.0,68.0,77.0,80.0,115.0,160.0,75.0,99.0,23.0,17.0,20.0,10.0
2021-04-09,1.0,0.0,42.0,58.0,80.0,79.0,82.0,95.0,138.0,153.0,183.0,159.0,643.0,283.0,61.0,45.0,25.0
2021-04-10,0.0,0.0,25.0,28.0,35.0,34.0,42.0,34.0,48.0,57.0,71.0,94.0,350.0,255.0,175.0,95.0,44.0
2021-04-11,0.0,0.0,16.0,26.0,26.0,36.0,38.0,42.0,63.0,74.0,88.0,75.0,588.0,167.0,69.0,45.0,18.0
2021-04-12,0.0,1.0,36.0,42.0,44.0,58.0,36.0,44.0,66.0,83.0,63.0,18.0,34.0,60.0,42.0,54.0,58.0
2021-04-13,0.0,0.0,55.0,56.0,74.0,90.0,78.0,102.0,123.0,126.0,104.0,210.0,117.0,125.0,56.0,39.0,47.0
2021-04-14,0.0,0.0,50.0,78.0,67.0,66.0,73.0,77.0,96.0,101.0,69.0,30.0,27.0,66.0,35.0,26.0,20.0
2021-04-15,0.0,0.0,22.0,30.0,42.0,40.0,27.0,36.0,51.0,58.0,44.0,48.0,60.0,76.0,31.0,27.0,30.0
2021-04-16,0.0,1.0,16.0,26.0,19.0,25.0,19.0,29.0,34.0,50.0,47.0,250.0,642.0,597.0,157.0,80.0,49.0
2021-04-17,0.0,0.0,24.0,29.0,29.0,53.0,52.0,68.0,104.0,114.0,125.0,213.0,1278.0,1064.0,186.0,66.0,29.0
2021-04-18,0.0,0.0,7.0,14.0,21.0,37.0,38.0,33.0,56.0,62.0,73.0,318.0,539.0,602.0,159.0,60.0,21.0
2021-04-19,0.0,0.0,9.0,11.0,7.0,20.0,18.0,23.0,37.0,49.0,97.0,105.0,183.0,178.0,82.0,52.0,31.0
2021-04-20,0.0,0.0,22.0,41.0,50.0,46.0,55.0,62.0,99.0,93.0,114.0,342.0,684.0,324.0,134.0,90.0,50.0
2021-04-21,0.0,1.0,35.0,44.0,39.0,46.0,50.0,54.0,100.0,111.0,125.0,285.0,868.0,363.0,91.0,29.0,9.0
2021-04-22,0.0,1.0,58.0,72.0,80.0,75.0,72.0,79.0,99.0,127.0,102.0,384.0,332.0,262.0,53.0,29.0,28.0
2021-04-23,0.0,1.0,23.0,47.0,65.0,52.0,62.0,75.0,117.0,134.0,139.0,396.0,672.0,534.0,144.0,65.0,36.0
2021-04-24,0.0,7.0,33.0,47.0,60.0,58.0,68.0,103.0,148.0,169.0,183.0,981.0,976.0,620.0,146.0,54.0,16.0
2021-04-25,0.0,0.0,22.0,31.0,38.0,39.0,56.0,66.0,84.0,120.0,140.0,471.0,482.0,154.0,36.0,29.0,11.0
2021-04-26,0.0,1.0,41.0,52.0,47.0,52.0,46.0,63.0,65.0,99.0,123.0,332.0,368.0,130.0,48.0,24.0,19.0
2021-04-27,0.0,4.0,47.0,72.0,62.0,78.0,54.0,69.0,77.0,107.0,119.0,697.0,514.0,215.0,56.0,39.0,31.0
2021-04-28,0.0,6.0,37.0,43.0,42.0,40.0,36.0,55.0,77.0,101.0,134.0,416.0,395.0,175.0,58.0,54.0,23.0
2021-04-29,0.0,1.0,34.0,37.0,70.0,63.0,64.0,77.0,130.0,129.0,170.0,645.0,603.0,192.0,42.0,15.0,11.0
2021-04-30,0.0,2.0,40.0,46.0,52.0,87.0,64.0,102.0,153.0,141.0,207.0,902.0,701.0,149.0,42.0,27.0,16.0
2021-05-01,0.0,2.0,59.0,67.0,79.0,101.0,106.0,148.0,216.0,243.0,305.0,1044.0,462.0,151.0,32.0,9.0,3.0
2021-05-02,0.0,0.0,37.0,51.0,78.0,79.0,72.0,98.0,145.0,190.0,247.0,204.0,96.0,20.0,1.0,4.0,1.0
2021-05-03,0.0,0.0,37.0,41.0,53.0,67.0,63.0,101.0,124.0,153.0,211.0,108.0,41.0,16.0,4.0,0.0,0.0
2021-05-04,0.0,0.0,39.0,44.0,44.0,42.0,56.0,68.0,88.0,105.0,88.0,120.0,83.0,44.0,26.0,17.0,11.0
2021-05-05,0.0,0.0,48.0,59.0,71.0,58.0,49.0,73.0,109.0,128.0,137.0,152.0,178.0,45.0,17.0,14.0,10.0
2021-05-06,0.0,5.0,51.0,72.0,71.0,92.0,71.0,79.0,121.0,148.0,151.0,285.0,183.0,33.0,11.0,12.0,7.0
2021-05-07,0.0,6.0,35.0,25.0,36.0,24.0,44.0,58.0,66.0,93.0,121.0,186.0,142.0,62.0,10.0,3.0,8.0
2021-05-08,0.0,11.0,87.0,114.0,150.0,169.0,198.0,234.0,370.0,507.0,844.0,1175.0,274.0,71.0,14.0,10.0,3.0
2021-05-09,0.0,13.0,63.0,62.0,95.0,103.0,154.0,138.0,226.0,341.0,535.0,795.0,150.0,30.0,12.0,9.0,2.0
2021-05-10,0.0,1.0,19.0,21.0,26.0,21.0,21.0,37.0,90.0,111.0,142.0,153.0,41.0,26.0,8.0,4.0,5.0
2021-05-11,0.0,5.0,50.0,58.0,51.0,73.0,85.0,65.0,102.0,131.0,135.0,285.0,99.0,30.0,12.0,12.0,3.0
2021-05-12,0.0,5.0,39.0,52.0,58.0,63.0,67.0,74.0,126.0,148.0,258.0,247.0,74.0,26.0,12.0,3.0,1.0
2021-05-13,0.0,6.0,41.0,32.0,38.0,46.0,59.0,76.0,193.0,268.0,375.0,257.0,48.0,6.0,5.0,7.0,2.0
2021-05-14,0.0,7.0,35.0,39.0,39.0,49.0,42.0,48.0,175.0,225.0,331.0,142.0,35.0,14.0,5.0,5.0,2.0
2021-05-15,0.0,23.0,55.0,65.0,61.0,115.0,110.0,138.0,193.0,312.0,378.0,278.0,66.0,31.0,10.0,1.0,1.0
2021-05-16,0.0,0.0,19.0,26.0,26.0,43.0,51.0,56.0,63.0,85.0,138.0,83.0,5.0,4.0,2.0,0.0,0.0
2021-05-17,0.0,0.0,25.0,20.0,30.0,44.0,31.0,22.0,118.0,372.0,310.0,76.0,25.0,14.0,7.0,2.0,0.0
2021-05-18,0.0,7.0,37.0,31.0,48.0,63.0,56.0,89.0,132.0,206.0,270.0,171.0,108.0,49.0,12.0,4.0,4.0
2021-05-19,0.0,4.0,20.0,24.0,43.0,43.0,32.0,37.0,92.0,113.0,199.0,60.0,18.0,20.0,4.0,5.0,4.0
2021-05-20,0.0,10.0,31.0,42.0,46.0,50.0,51.0,80.0,347.0,270.0,272.0,104.0,13.0,17.0,3.0,4.0,1.0
2021-05-21,0.0,2.0,35.0,31.0,45.0,46.0,52.0,68.0,117.0,129.0,188.0,64.0,25.0,6.0,3.0,2.0,2.0
2021-05-22,0.0,7.0,80.0,108.0,143.0,154.0,173.0,242.0,884.0,972.0,1003.0,191.0,34.0,10.0,6.0,2.0,0.0
2021-05-23,0.0,1.0,46.0,67.0,101.0,72.0,95.0,132.0,396.0,437.0,474.0,140.0,29.0,12.0,5.0,1.0,0.0
2021-05-24,0.0,0.0,23.0,23.0,36.0,54.0,58.0,73.0,281.0,277.0,351.0,90.0,11.0,2.0,3.0,1.0,3.0
2021-05-25,0.0,0.0,18.0,13.0,21.0,25.0,32.0,39.0,94.0,174.0,292.0,51.0,5.0,3.0,2.0,2.0,1.0
2021-05-26,0.0,3.0,34.0,48.0,46.0,60.0,91.0,119.0,249.0,243.0,385.0,79.0,17.0,10.0,1.0,0.0,0.0
2021-05-27,0.0,13.0,34.0,44.0,52.0,55.0,64.0,122.0,486.0,500.0,279.0,44.0,13.0,3.0,2.0,2.0,1.0
2021-05-28,0.0,0.0,13.0,22.0,20.0,15.0,27.0,34.0,59.0,163.0,289.0,35.0,4.0,0.0,1.0,2.0,1.0
2021-05-29,0.0,5.0,94.0,81.0,113.0,172.0,276.0,377.0,1007.0,1155.0,1021.0,160.0,22.0,11.0,7.0,2.0,2.0
2021-05-30,0.0,0.0,34.0,34.0,47.0,58.0,64.0,137.0,279.0,390.0,334.0,74.0,11.0,3.0,1.0,2.0,0.0
2021-05-31,0.0,0.0,17.0,26.0,18.0,26.0,152.0,163.0,260.0,243.0,163.0,20.0,1.0,1.0,0.0,1.0,0.0
2021-06-01,0.0,0.0,26.0,14.0,27.0,30.0,76.0,93.0,122.0,225.0,199.0,24.0,4.0,4.0,2.0,1.0,0.0
2021-06-02,0.0,0.0,11.0,15.0,22.0,19.0,25.0,39.0,79.0,146.0,108.0,11.0,7.0,7.0,4.0,3.0,3.0
2021-06-03,0.0,0.0,61.0,81.0,85.0,142.0,380.0,585.0,639.0,777.0,428.0,61.0,13.0,2.0,3.0,4.0,2.0
2021-06-04,0.0,1.0,51.0,68.0,119.0,148.0,395.0,503.0,540.0,579.0,350.0,59.0,13.0,4.0,2.0,2.0,0.0
2021-06-05,0.0,4.0,84.0,126.0,146.0,199.0,720.0,936.0,1025.0,909.0,522.0,81.0,16.0,9.0,4.0,0.0,0.0
2021-06-06,0.0,0.0,81.0,83.0,100.0,131.0,431.0,548.0,622.0,594.0,304.0,47.0,17.0,4.0,5.0,1.0,1.0
2021-06-07,0.0,0.0,24.0,27.0,36.0,47.0,109.0,114.0,273.0,342.0,202.0,29.0,4.0,0.0,2.0,0.0,0.0
2021-06-08,0.0,2.0,22.0,22.0,34.0,41.0,78.0,74.0,144.0,241.0,145.0,19.0,8.0,5.0,4.0,6.0,1.0
2021-06-09,0.0,2.0,33.0,54.0,93.0,98.0,315.0,315.0,361.0,328.0,206.0,25.0,9.0,7.0,2.0,0.0,0.0
